gene1	gene2	SP
YQE_10360	YQE_08562	1
YQE_10362	YQE_06533	1
YQE_10362	YQE_08562	1
YQE_01572	YQE_00037	1
YQE_01572	YQE_01911	1
YQE_01572	YQE_03562	1
YQE_07303	YQE_03852	1
YQE_07303	YQE_02288	1
YQE_07303	YQE_06507	1
YQE_07303	YQE_09887	1
YQE_04047	YQE_00765	1
YQE_02675	YQE_05189	1
YQE_02675	YQE_00767	1
YQE_02675	YQE_01223	1
YQE_02675	YQE_02257	1
YQE_02675	YQE_07652	1
YQE_02675	YQE_06954	1
YQE_02675	YQE_05662	1
YQE_02675	YQE_04648	1
YQE_02675	YQE_11555	1
YQE_02675	YQE_12119	1
YQE_11924	YQE_05845	1
YQE_11924	YQE_07051	1
YQE_05189	YQE_00767	1
YQE_05189	YQE_01223	1
YQE_05189	YQE_02257	1
YQE_05189	YQE_07652	1
YQE_05189	YQE_06954	1
YQE_05189	YQE_05662	1
YQE_05189	YQE_04648	1
YQE_05189	YQE_11555	1
YQE_05189	YQE_12119	1
YQE_00766	YQE_06742	1
YQE_00766	YQE_02259	1
YQE_00766	YQE_03162	1
YQE_00766	YQE_12518	1
YQE_00766	YQE_12932	1
YQE_00766	YQE_01985	1
YQE_00766	YQE_08467	1
YQE_00767	YQE_01223	1
YQE_00767	YQE_02257	1
YQE_00767	YQE_07652	1
YQE_00767	YQE_06954	1
YQE_00767	YQE_05662	1
YQE_00767	YQE_04648	1
YQE_00767	YQE_11555	1
YQE_00767	YQE_12119	1
YQE_00864	YQE_04377	1
YQE_00864	YQE_05666	1
YQE_01197	YQE_04712	1
YQE_01197	YQE_04714	1
YQE_05845	YQE_07051	1
YQE_03852	YQE_02288	1
YQE_03852	YQE_06507	1
YQE_03852	YQE_09887	1
YQE_03446	YQE_00267	1
YQE_06533	YQE_08562	1
YQE_02288	YQE_06507	1
YQE_02288	YQE_09887	1
YQE_01223	YQE_02257	1
YQE_01223	YQE_07652	1
YQE_01223	YQE_06954	1
YQE_01223	YQE_05662	1
YQE_01223	YQE_04648	1
YQE_01223	YQE_11555	1
YQE_01223	YQE_12119	1
YQE_06507	YQE_09887	1
YQE_06742	YQE_02259	1
YQE_06742	YQE_03162	1
YQE_06742	YQE_12518	1
YQE_06742	YQE_12932	1
YQE_06742	YQE_01985	1
YQE_06742	YQE_08467	1
YQE_02257	YQE_07652	1
YQE_02257	YQE_06954	1
YQE_02257	YQE_05662	1
YQE_02257	YQE_04648	1
YQE_02257	YQE_11555	1
YQE_02257	YQE_12119	1
YQE_02258	YQE_05444	1
YQE_02259	YQE_03162	1
YQE_02259	YQE_12518	1
YQE_02259	YQE_12932	1
YQE_02259	YQE_01985	1
YQE_02259	YQE_08467	1
YQE_03162	YQE_12518	1
YQE_03162	YQE_12932	1
YQE_03162	YQE_01985	1
YQE_03162	YQE_08467	1
YQE_04712	YQE_04714	1
